"store_id","store_name","city","country","store_type"
"S001","Chocolate Store 1","New York","USA","Retail"
"S002","Chocolate Store 2","Melbourne","Australia","Mall"
"S003","Chocolate Store 3","Berlin","Germeny","Mall"
"S004","Chocolate Store 4","London","UK","Airport"
"S005","Chocolate Store 5","Sydney","Australia","Online"
"S006","Chocolate Store 6","Toronto","Canada","Online"
"S007","Chocolate Store 7","Sydney","Australia","Mall"
"S008","Chocolate Store 8","London","UK","Mall"
"","","","France","Online"
"S010","Chocolate Store 10","Toronto","Canada","Retail"
"","","","",""
"","Chocolate Store 12","London","UK","Mall"
"S013","Chocolate Store 13","Melbourne","Australia","Retail"
"S014","Chocolate Store 14","London","UK","Airport"
"S015","Chocolate Store 15","Toronto","Canada","Airport"
"","Chocolate Store 16","New York","USA","Mall"
"S017","Chocolate Store 17","Melbourne","Australia","Airport"
"S018","Chocolate Store 18","London","UK","Retail"
"S019","Chocolate Store 19","New York","USA","Airport"
"S020","Chocolate Store 20","Toronto","Canada","Retail"
"","Chocolate Store 21","Melbourne","Australia","Mall"
"S022","Chocolate Store 22","Berlin","Germeny","Retail"
"","","London","UK","Retail"
"S024","Chocolate Store 24","","France","Online"
"S025","Chocolate Store 25","Sydney","Australia","Airport"
"S026","Chocolate Store 26","London","UK","Online"
"","","","","Airport"
"S028","Chocolate Store 28","London","UK","Mall"
"S029","Chocolate Store 29","Melbourne","Australia","Online"
"","","New York","USA","Airport"
"S031","Chocolate Store 31","","Australia","Retail"
"S032","Chocolate Store 32","London","UK","Mall"
"S033","Chocolate Store 33","Toronto","Canada","Retail"
"S034","Chocolate Store 34","Toronto","Canada","Mall"
"","Chocolate Store 35","Melbourne","Australia","Mall"
"S036","Chocolate Store 36","Berlin","Germeny","Mall"
"S037","Chocolate Store 37","London","UK","Online"
"S038","Chocolate Store 38","Melbourne","Australia","Mall"
"","","London","UK","Mall"
"S040","Chocolate Store 40","Melbourne","Australia","Airport"
"","","","",""
"S042","Chocolate Store 42","New York","USA","Online"
"S043","Chocolate Store 43","London","UK","Airport"
"","","","",""
"S045","Chocolate Store 45","Sydney","Australia","Online"
"S046","Chocolate Store 46","London","UK","Mall"
"","Chocolate Store 47","New York","USA","Mall"
"S048","Chocolate Store 48","Toronto","Canada","Airport"
"S049","","","France","Mall"
"S050","Chocolate Store 50","New York","USA","Airport"
"","","","Australia","Retail"
"S052","Chocolate Store 52","Toronto","Canada","Retail"
"S053","Chocolate Store 53","New York","USA","Retail"
"S054","Chocolate Store 54","London","UK","Online"
"S055","Chocolate Store 55","New York","USA","Retail"
"S056","Chocolate Store 56","Melbourne","Australia","Online"
"S057","Chocolate Store 57","London","UK","Airport"
"S058","Chocolate Store 58","New York","USA","Airport"
"S059","Chocolate Store 59","New York","USA","Airport"
"S060","Chocolate Store 60","","Australia","Airport"
"S061","Chocolate Store 61","London","UK","Online"
"S062","Chocolate Store 62","Toronto","Canada","Airport"
"S063","Chocolate Store 63","Sydney","Australia","Retail"
"S064","Chocolate Store 64","Berlin","Germeny","Airport"
"S065","Chocolate Store 65","New York","USA","Retail"
"S066","Chocolate Store 66","Sydney","Australia","Online"
"","Chocolate Store 67","Berlin","Germeny","Online"
"S068","Chocolate Store 68","Melbourne","Australia","Online"
"S069","Chocolate Store 69","London","UK","Retail"
"S070","Chocolate Store 70","Toronto","Canada","Online"
"S071","Chocolate Store 71","Sydney","Australia","Online"
"S072","Chocolate Store 72","New York","USA","Mall"
"S073","Chocolate Store 73","Toronto","Canada","Online"
"S074","Chocolate Store 74","Sydney","Australia","Online"
"","","Sydney","Australia","Airport"
"S076","Chocolate Store 76","Berlin","Germeny","Retail"
"S077","Chocolate Store 77","London","UK","Airport"
"","","London","UK","Airport"
"S079","Chocolate Store 79","New York","USA","Mall"
"","","","","Online"
"S081","Chocolate Store 81","Melbourne","Australia","Airport"
"S082","Chocolate Store 82","Toronto","Canada","Mall"
"S083","Chocolate Store 83","Toronto","Canada","Mall"
"","Chocolate Store 84","Toronto","Canada","Airport"
"S085","Chocolate Store 85","Melbourne","Australia","Online"
"S086","Chocolate Store 86","Berlin","Germeny","Mall"
"","","","","Airport"
"S088","Chocolate Store 88","Toronto","Canada","Retail"
"S089","Chocolate Store 89","Toronto","Canada","Online"
"","","Toronto","Canada","Online"
"S091","Chocolate Store 91","Sydney","Australia","Online"
"S092","Chocolate Store 92","London","UK","Airport"
"S093","Chocolate Store 93","Sydney","Australia","Airport"
"","","","",""
"S095","Chocolate Store 95","Toronto","Canada","Mall"
"","","","",""
"S097","Chocolate Store 97","Toronto","Canada","Mall"
"","","New York","USA","Online"
"S099","Chocolate Store 99","Toronto","Canada","Mall"
"S100","Chocolate Store 100","Berlin","Germeny",""
