"customer_id","age","gender","loyalty_member","join_date"
"C000002",47,"Male",0,"2021-12-26"
"C000003",58,"Female",1,"2022-09-13"
"C000006",32,"Male",0,"2022-05-22"
"C000007",51,"Male",1,"2024-07-28"
"C000008",56,"Female",0,"2024-08-12"
"C000009",18,"Male",0,"2025-06-23"
"C000010",40,"Male",0,"2023-06-07"
"C000011",44,"Male",0,"2025-12-22"
"",53,"Male",1,"2024-01-24"
"C000013",68,"Male",1,"2022-03-23"
"C000014",32,"Female",1,"2024-08-16"
"C000015",61,"Female",1,"2026-02-18"
"C000017",29,"Male",0,"2021-05-03"
"C000018",67,"Male",1,"2023-09-28"
"C000019",69,"Male",1,"2022-09-28"
"C000020",32,"Female",1,"2022-05-11"
"C000022",66,"Male",0,"2025-06-28"
"C000024",32,"Male",1,"2022-01-10"
"C000025",33,"Male",0,"2025-08-11"
"C000026",31,"Female",0,"2024-09-26"
"",29,"Male",0,"2024-08-29"
"C000028",68,"Female",0,"2025-02-07"
"C000031",65,"Female",0,"2024-05-17"
"C000033",47,"Female",1,"2022-04-19"
"C000034",23,"Female",1,"2024-06-13"
"C000035",67,"Male",0,"2021-09-02"
"C000036",58,"Male",1,"2022-05-02"
"C000037",56,"Female",1,"2024-02-13"
"C000038",28,"Female",1,"2023-05-11"
"C000040",23,"Female",1,"2024-10-16"
"C000041",66,"Male",0,"2022-12-04"
"C000042",27,"Female",0,"2025-05-12"
"C000043",39,"Female",1,"2024-08-07"
"C000044",41,"Male",1,"2023-12-05"
"C000046",69,"Male",0,"2021-05-06"
"C000048",23,"Male",0,"2023-01-22"
"C000049",49,"Female",1,"2025-09-04"
"C000050",28,"Male",0,"2025-02-08"
"",27,"Male",1,"2023-06-06"
"C000053",39,"Female",0,"2023-12-26"
"C000054",45,"Female",0,"2024-10-15"
"C000055",70,"Female",0,"2022-07-03"
"C000058",66,"Male",0,"2023-08-06"
"C000059",67,"Male",1,"2024-10-23"
"C000061",46,"Male",1,"2025-07-09"
"C000062",40,"Female",1,"2021-06-03"
"C000063",53,"Female",0,"2025-06-26"
"C000065",54,"Male",1,"2022-12-30"
"C000066",34,"Female",0,"2022-02-09"
"C000067",66,"Male",1,"2024-05-02"
"C000068",59,"Female",0,"2021-08-29"
"C000069",59,"Female",1,"2024-04-20"
"C000071",48,"Female",0,"2022-11-10"
"C000072",38,"Female",1,"2023-09-14"
"C000073",48,"Female",0,"2022-11-09"
"C000075",60,"Female",1,"2023-11-19"
"C000079",21,"Female",0,"2024-10-03"
"C000080",38,"Male",1,"2022-01-29"
"",21,"Male",0,"2024-03-25"
"C000082",49,"Male",0,"2024-04-16"
"C000083",38,"Female",1,"2024-06-19"
"C000084",66,"Female",1,"2021-07-17"
"C000086",47,"Female",1,"2021-03-16"
"C000087",47,"Male",1,"2022-06-03"
"C000088",38,"Female",1,"2022-04-22"
"C000089",58,"Female",1,"2025-06-24"
"C000090",44,"Male",0,"2022-07-18"
"C000091",35,"Male",0,"2024-04-17"
"C000092",21,"Male",1,"2024-09-04"
"C000093",39,"Female",1,"2022-02-23"
"C000094",18,"Male",1,"2026-01-15"
"C000095",35,"Male",0,"2023-12-11"
"C000096",42,"Female",1,"2025-01-30"
"C000097",65,"Male",0,"2024-06-04"
"C000100",67,"Female",1,"2025-08-10"
"C000101",36,"Male",1,"2023-11-15"
"C000103",23,"Female",0,"2022-08-12"
"C000105",67,"Female",0,"2022-05-09"
"C000106",60,"Male",1,"2024-03-29"
"C000108",62,"Female",1,"2023-06-25"
"C000110",43,"Male",1,"2025-12-09"
"",58,"Female",0,"2022-10-17"
"C000113",69,"Female",1,"2023-12-28"
"C000114",65,"Female",0,"2025-06-16"
"",22,"Male",0,"2023-06-04"
"C000117",36,"Female",0,"2024-08-03"
"C000118",57,"Female",1,"2023-10-27"
"C000119",52,"Female",0,"2023-09-03"
"C000120",41,"Female",0,"2024-08-03"
"C000123",57,"Female",1,"2022-09-24"
"C000124",23,"Male",0,"2023-10-07"
"C000126",65,"Male",1,"2023-11-01"
"C000127",56,"Male",1,"2025-05-20"
"C000128",35,"Male",0,"2022-11-10"
"C000129",20,"Female",1,"2022-06-08"
"C000132",33,"Female",0,"2022-03-21"
"C000133",52,"Female",0,"2021-04-20"
"",41,"Male",1,"2022-12-06"
"C000135",57,"Male",1,"2025-05-09"
"C000136",63,"Male",0,"2024-10-03"
"C000137",23,"Female",1,"2024-07-27"
"C000138",70,"Male",0,"2022-03-29"
"C000139",28,"Female",0,"2022-03-03"
"C000141",21,"Male",1,"2021-08-02"
"",28,"Male",1,"2024-06-16"
"C000143",63,"Female",0,"2021-08-02"
"C000145",70,"Male",1,"2022-11-13"
"C000146",62,"Male",0,"2024-09-24"
"C000147",28,"Female",0,"2023-07-31"
"C000149",48,"Male",0,"2025-01-10"
"C000150",48,"Male",1,"2025-01-22"
"C000152",22,"Female",1,"2024-03-15"
"C000154",25,"Female",0,"2025-02-09"
"C000155",55,"Female",1,"2025-02-05"
"C000158",33,"Male",1,"2025-07-05"
"C000159",37,"Male",1,"2023-06-09"
"C000161",41,"Male",0,"2022-12-28"
