"order_id","order_date","product_id","store_id","customer_id","quantity","unit_price","discount","revenue","cost","profit"
"0RD00000001","2023-01-07","P0080","S093","C040749",5,14.43,0.15,61.33,42.77,18.56
"0RD00000002","2023-10-22","P0173","S065","C020161",3,12.01,0.0,36.03,19.06,16.97
"0RD00000003","2023-05-07","P0115","S078","C048069",2,10.02,0.0,20.04,10.29,9.75
"0RD00000004","2024-06-23","P0186","S088","C047901",2,14.66,0.1,26.39,16.35,10.04
"0RD00000005","2024-09-24","P0197","S054","C033950",1,12.34,0.0,12.34,7.94,4.4
"0RD00000006","2024-03-29","P0160","S089","C008918",4,13.52,0.0,54.08,36.59,17.49
"0RD00000007","2023-02-26","P0062","S024","C002897",1,11.97,0.1,10.77,7.16,3.61
"0RD00000008","2023-11-03","P0111","S085","C038072",5,4.62,0.0,23.1,16.15,6.95
"0RD00000009","2024-10-11","P0135","S029","C003786",4,7.88,0.0,31.52,19.9,11.62
"0RD00000010","2023-12-17","P0069","S056","C043148",3,8.88,0.0,26.64,18.19,8.45
"0RD00000011","2023-01-01","P0181","S070","C016710",5,12.62,0.0,63.1,43.74,19.36
"0RD00000012","2023-03-18","P0137","S028","C040620",4,4.1,0.0,16.4,9.9,6.5
"0RD00000013","2024-11-06","P0003","S021","C048449",3,10.9,0.0,32.7,17.29,15.41
"0RD00000014","2024-11-08","P0026","S005","C009995",2,4.43,0.1,7.97,5.5,2.48
"0RD00000015","2024-01-08","P0042","S100","C011763",2,5.48,0.0,10.96,6.83,4.13
"0RD00000016","2023-04-03","P0110","S037","C037715",2,5.93,0.0,11.86,6.11,5.75
"0RD00000017","2024-08-16","P0058","S062","C038708",3,5.51,0.0,16.53,10.7,5.83
"0RD00000018","2024-06-01","P0088","S069","C013225",5,8.54,0.0,42.7,26.15,16.55
"0RD00000019","2024-03-26","P0069","S063","C001239",3,9.05,0.0,27.15,15.61,11.54
"0RD00000020","2023-09-10","P0037","S049","C049903",1,4.52,0.1,4.07,2.22,1.84
"0RD00000021","2023-01-28","P0047","S088","C011617",5,4.56,0.0,22.8,11.43,11.37
"0RD00000022","2024-03-10","P0048","S029","C020288",1,7.35,0.15,6.25,4.08,2.17
"0RD00000023","2023-12-06","P0145","S040","C017698",4,7.54,0.15,25.64,16.01,9.63
"0RD00000024","2024-10-20","P0069","S097","C011533",1,10.61,0.1,9.55,5.9,3.65
"0RD00000025","2024-09-15","P0177","S084","C005976",2,5.27,0.0,10.54,5.97,4.57
"0RD00000026","2024-06-09","P0136","S052","C031721",5,7.18,0.1,32.31,19.05,13.26
"0RD00000027","2023-11-29","P0023","S061","C027411",1,5.17,0.2,4.14,2.76,1.38
"0RD00000028","2024-04-30","P0049","S095","C018065",1,11.89,0.0,11.89,8.2,3.69
"0RD00000029","2024-04-17","P0171","S001","C039927",4,8.53,0.15,29.0,18.5,10.5
"0RD00000030","2023-02-14","P0055","S099","C006289",4,6.25,0.0,25.0,14.4,10.6
"0RD00000031","2024-01-27","P0175","S034","C005943",1,10.83,0.0,10.83,6.49,4.34
"0RD00000032","2024-04-05","P0057","S043","C003841",5,13.58,0.0,67.9,44.91,22.99
"0RD00000033","2023-10-13","P0171","S052","C026554",4,12.89,0.0,51.56,31.46,20.1
"0RD00000034","2024-05-16","P0106","S039","C007497",2,14.38,0.2,23.01,15.84,7.17
"0RD00000035","2023-07-24","P0144","S003","C008396",4,14.88,0.2,47.62,24.33,23.29
"0RD00000036","2024-04-10","P0176","S033","C005440",2,10.28,0.2,16.45,10.04,6.4
"0RD00000037","2024-02-15","P0073","S096","C007972",1,13.2,0.2,10.56,5.77,4.79
"0RD00000038","2023-07-03","P0157","S051","C024031",3,13.03,0.1,35.18,22.84,12.34
"0RD00000039","2024-01-09","P0049","S068","C010667",1,4.6,0.0,4.6,2.49,2.11
"0RD00000040","2024-10-10","P0161","S039","C000153",3,13.38,0.15,34.12,18.9,15.22
"0RD00000041","2023-03-09","P0074","S007","C015022",2,4.63,0.0,9.26,4.89,4.37
"0RD00000042","2023-12-15","P0149","S040","C025509",4,13.53,0.0,54.12,27.31,26.81
"0RD00000043","2023-05-06","P0094","S017","C043764",5,6.34,0.0,31.7,18.39,13.31
"0RD00000044","2024-12-14","P0064","S053","C019894",2,8.29,0.0,16.58,9.59,6.99
"0RD00000045","2023-04-30","P0003","S051","C020108",4,8.88,0.15,30.19,16.48,13.71
"0RD00000046","2023-08-23","P0001","S091","C033225",5,6.0,0.0,30.0,16.71,13.29
"0RD00000047","2024-10-29","P0146","S068","C007002",5,9.57,0.0,47.85,32.29,15.56
"0RD00000048","2023-05-28","P0015","S061","C010303",3,13.55,0.0,40.65,22.69,17.96
"0RD00000049","2023-11-02","P0088","S096","C003027",1,7.49,0.0,7.49,4.86,2.63
"0RD00000050","2023-02-10","P0065","S095","C007938",3,14.04,0.15,35.8,20.1,15.7
"0RD00000051","2023-10-26","P0022","S071","C023477",2,7.31,0.1,13.16,6.63,6.52
"0RD00000052","2023-03-31","P0092","S091","C008405",3,9.12,0.0,27.36,14.22,13.14
"0RD00000053","2024-12-31","P0195","S094","C024141",1,7.93,0.2,6.34,3.26,3.08
"0RD00000054","2023-02-24","P0150","S097","C005439",3,11.5,0.0,34.5,22.53,11.97
"0RD00000055","2023-06-01","P0087","S021","C024854",2,10.77,0.15,18.31,11.27,7.04
"0RD00000056","2024-11-28","P0080","S090","C040441",4,5.28,0.0,21.12,12.92,8.2
"0RD00000057","2024-08-03","P0099","S023","C030186",3,13.51,0.15,34.45,23.38,11.07
"0RD00000058","2024-11-20","P0168","S027","C024855",4,3.73,0.0,14.92,8.94,5.98
"0RD00000059","2023-11-16","P0029","S056","C001580",5,9.28,0.0,46.4,26.58,19.82
"0RD00000060","2023-08-07","P0170","S065","C015226",4,11.27,0.0,45.08,30.66,14.42
"0RD00000061","2023-08-09","P0033","S010","C015434",3,3.9,0.0,11.7,7.26,4.44
"0RD00000062","2023-09-26","P0100","S049","C011306",1,7.76,0.0,7.76,5.02,2.74
"0RD00000063","2024-12-29","P0114","S090","C043362",3,6.08,0.0,18.24,10.57,7.67
"0RD00000064","2024-06-28","P0048","S020","C038553",2,8.39,0.15,14.26,7.98,6.28
"0RD00000065","2023-03-26","P0116","S099","C033011",2,3.9,0.1,7.02,4.57,2.45
"0RD00000066","2023-05-14","P0078","S003","C044659",3,13.58,0.0,40.74,25.4,15.34
"0RD00000067","2023-02-21","P0175","S044","C007361",4,11.8,0.0,47.2,27.89,19.31
"0RD00000068","2023-12-27","P0068","S067","C018017",2,10.42,0.0,20.84,13.49,7.35
"0RD00000069","2024-06-08","P0148","S083","C030006",1,13.78,0.1,12.4,8.2,4.2
"0RD00000070","2023-03-27","P0144","S071","C002144",3,4.48,0.0,13.44,7.82,5.62
"0RD00000071","2023-12-01","P0188","S041","C045728",5,8.94,0.15,37.99,24.07,13.92
"0RD00000072","2024-02-07","P0187","S019","C025118",1,7.66,0.0,7.66,4.59,3.07
"0RD00000073","2023-10-31","P0107","S086","C016942",4,3.7,0.15,12.58,7.66,4.92
"0RD00000074","2024-12-05","P0015","S001","C041773",3,14.87,0.2,35.69,21.64,14.05
"0RD00000075","2024-06-27","P0112","S068","C031545",5,11.77,0.15,50.02,25.89,24.13
"0RD00000076","2024-12-23","P0163","S074","C006110",2,12.26,0.0,24.52,12.41,12.11
"0RD00000077","2024-02-09","P0131","S021","C037465",1,10.57,0.0,10.57,7.12,3.45
"0RD00000078","2024-03-19","P0114","S022","C010553",3,7.85,0.0,23.55,14.66,8.89
"0RD00000079","2024-10-06","P0118","S013","C028707",3,7.07,0.2,16.97,10.33,6.63
"0RD00000080","2024-05-26","P0200","S003","C001528",5,3.38,0.2,13.52,8.99,4.53
"0RD00000081","2024-02-09","P0069","S027","C027166",3,11.17,0.1,30.16,15.72,14.44
"0RD00000082","2024-12-24","P0100","S042","C040090",5,3.37,0.0,16.85,9.68,7.17
"0RD00000083","2024-01-11","P0193","S014","C031157",4,7.65,0.0,30.6,21.06,9.54
"0RD00000084","2023-10-25","P0143","S043","C016967",1,10.2,0.0,10.2,6.96,3.24
"0RD00000085","2024-04-22","P0077","S035","C012226",5,4.92,0.1,22.14,15.08,7.06
"0RD00000086","2024-08-22","P0071","S094","C037617",5,6.55,0.0,32.75,18.66,14.09
"0RD00000087","2024-11-25","P0017","S057","C033004",2,5.12,0.0,10.24,6.24,4.0
"0RD00000088","2023-12-10","P0006","S005","C024721",3,9.96,0.1,26.89,15.88,11.01
"0RD00000089","2024-03-26","P0043","S100","C017630",5,9.76,0.0,48.8,30.54,18.26
"0RD00000090","2024-07-06","P0137","S097","C016901",1,13.99,0.15,11.89,7.63,4.26
"0RD00000091","2023-07-08","P0086","S073","C032934",4,9.04,0.15,30.74,20.28,10.45
"0RD00000092","2023-05-24","P0019","S063","C043800",3,10.54,0.0,31.62,17.7,13.92
"0RD00000093","2024-12-17","P0132","S073","C000987",1,6.76,0.0,6.76,4.53,2.23
"0RD00000094","2023-01-07","P0077","S089","C006569",1,6.76,0.0,6.76,4.3,2.46
"0RD00000095","2023-04-04","P0175","S024","C005951",5,11.47,0.0,57.35,31.59,25.76
"0RD00000096","2024-06-08","P0144","S066","C000327",3,9.09,0.0,27.27,17.82,9.45
"0RD00000097","2024-04-13","P0045","S044","C035552",2,14.05,0.2,22.48,13.25,9.23
"0RD00000098","2023-12-02","P0173","S039","C030377",3,11.87,0.0,35.61,20.72,14.89
"0RD00000099","2023-06-13","P0196","S096","C007378",2,10.04,0.0,20.08,13.36,6.72
"0RD00000100","2024-09-08","P0003","S018","C020244",4,3.67,0.0,14.68,9.03,5.65
"0RD00000101","2023-05-02","P0139","S059","C037371",4,13.0,0.1,46.8,28.75,18.05
"0RD00000102","2023-06-10","P0156","S012","C020177",1,10.61,0.2,8.49,5.24,3.25
"0RD00000103","2023-03-12","P0176","S049","C010935",1,7.87,0.2,6.3,3.64,2.65
"0RD00000104","2024-12-02","P0015","S041","C040664",3,13.3,0.2,31.92,17.1,14.82
"0RD00000105","2024-06-27","P0070","S093","C001903",5,8.23,0.1,37.04,23.44,13.59
"0RD00000106","2023-12-22","P0123","S038","C048479",4,8.12,0.0,32.48,17.83,14.65
"0RD00000107","2024-12-26","P0171","S043","C031312",1,12.93,0.2,10.34,5.67,4.67
"0RD00000108","2024-10-02","P0195","S063","C019110",1,12.17,0.2,9.74,6.66,3.08
"0RD00000109","2024-01-10","P0119","S038","C030233",2,7.66,0.0,15.32,8.92,6.4
"0RD00000110","2024-02-20","P0131","S046","C006709",1,11.35,0.0,11.35,6.62,4.73
"0RD00000111","2023-08-23","P0194","S050","C015979",5,6.66,0.0,33.3,22.33,10.97
"0RD00000112","2024-01-16","P0015","S017","C012589",1,13.14,0.0,13.14,7.08,6.06
"0RD00000113","2023-09-17","P0023","S047","C044099",3,12.3,0.2,29.52,16.75,12.77
"0RD00000114","2024-06-14","P0168","S093","C026098",2,11.57,0.0,23.14,12.79,10.35
"0RD00000115","2024-10-16","P0095","S041","C011722",4,12.91,0.0,51.64,36.05,15.59
"0RD00000116","2024-03-11","P0121","S082","C033225",5,9.13,0.0,45.65,28.57,17.08
"0RD00000117","2024-11-12","P0137","S060","C000248",2,9.06,0.0,18.12,12.42,5.7
"0RD00000118","2024-12-10","P0080","S042","C037981",5,11.69,0.0,58.45,34.78,23.67
"0RD00000119","2023-09-17","P0138","S063","C001720",5,7.89,0.15,33.53,19.81,13.72
"0RD00000120","2024-04-11","P0140","S062","C037678",4,3.38,0.0,13.52,8.33,5.19
"0RD00000121","2023-10-10","P0082","S028","C017560",1,10.1,0.0,10.1,5.71,4.39
"0RD00000122","2024-03-15","P0034","S041","C012898",1,9.84,0.0,9.84,6.1,3.74
"0RD00000123","2023-03-23","P0063","S012","C042822",2,13.75,0.2,22.0,12.63,9.37
"0RD00000124","2024-07-21","P0064","S039","C002520",1,7.24,0.15,6.15,3.5,2.65
"0RD00000125","2024-09-14","P0051","S083","C036698",5,9.07,0.1,40.82,27.42,13.39
"0RD00000126","2023-12-20","P0057","S066","C012574",1,8.96,0.0,8.96,5.94,3.02
"0RD00000127","2023-04-20","P0042","S006","C034867",1,9.4,0.0,9.4,6.53,2.87
"0RD00000128","2023-08-01","P0143","S076","C023429",1,7.03,0.0,7.03,4.84,2.19
"0RD00000129","2024-06-11","P0006","S034","C033593",5,12.54,0.15,53.29,35.35,17.95
"0RD00000130","2024-02-13","P0133","S080","C006464",3,3.61,0.0,10.83,5.74,5.09
"0RD00000131","2024-01-01","P0043","S099","C013717",2,13.8,0.0,27.6,16.64,10.96
"0RD00000132","2024-01-07","P0066","S060","C021684",4,10.17,0.0,40.68,20.45,20.23
"0RD00000133","2023-02-28","P0128","S022","C023418",3,11.31,0.0,33.93,23.37,10.56
"0RD00000134","2023-06-13","P0071","S040","C049512",3,10.75,0.0,32.25,21.78,10.47
"0RD00000135","2023-02-26","P0056","S026","C029628",5,14.55,0.0,72.75,39.15,33.6
"0RD00000136","2023-08-26","P0002","S047","C022653",4,3.63,0.0,14.52,9.18,5.34
"0RD00000137","2023-01-10","P0015","S091","C014125",5,14.96,0.0,74.8,37.57,37.23
"0RD00000138","2023-04-16","P0141","S037","C046645",4,9.21,0.0,36.84,22.42,14.42
"0RD00000139","2023-04-22","P0009","S097","C030557",1,8.15,0.0,8.15,4.66,3.49
"0RD00000140","2023-05-27","P0026","S084","C015753",5,6.49,0.0,32.45,16.35,16.1
"0RD00000141","2024-11-25","P0181","S054","C038278",4,7.94,0.0,31.76,17.35,14.41
"0RD00000142","2023-06-22","P0021","S040","C013515",4,9.36,0.0,37.44,21.92,15.52
"0RD00000143","2023-10-18","P0059","S073","C034174",4,14.04,0.15,47.74,25.33,22.41
"0RD00000144","2024-09-28","P0098","S001","C042516",3,8.48,0.0,25.44,13.97,11.47
"0RD00000145","2023-02-28","P0126","S028","C029706",1,5.17,0.1,4.65,3.1,1.55
"0RD00000146","2023-07-11","P0112","S044","C014926",4,10.44,0.0,41.76,22.95,18.81
"0RD00000147","2023-01-08","P0066","S005","C023610",1,11.7,0.0,11.7,7.24,4.46
"0RD00000148","2024-02-02","P0113","S046","C032632",2,4.55,0.0,9.1,5.74,3.36
"0RD00000149","2023-06-03","P0051","S060","C024641",1,9.69,0.0,9.69,5.66,4.03
"0RD00000150","2023-09-04","P0124","S033","C012440",3,4.22,0.1,11.39,7.09,4.3
"0RD00000151","2024-08-31","P0154","S046","C021576",1,12.83,0.0,12.83,8.15,4.68
"0RD00000152","2024-05-19","P0062","S065","C026059",4,14.62,0.1,52.63,32.95,19.68
"0RD00000153","2023-10-14","P0021","S039","C043286",3,8.22,0.0,24.66,14.72,9.94
"0RD00000154","2023-11-29","P0070","S028","C040629",3,6.86,0.0,20.58,13.64,6.94
"0RD00000155","2023-09-06","P0063","S088","C016083",2,11.46,0.1,20.63,11.53,9.1
"0RD00000156","2023-04-12","P0065","S070","C047679",1,4.75,0.0,4.75,3.17,1.58
"0RD00000157","2023-01-11","P0012","S033","C016027",3,6.77,0.15,17.26,9.32,7.94
"0RD00000158","2023-05-03","P0054","S045","C007284",1,6.72,0.15,5.71,3.64,2.08
"0RD00000159","2023-07-13","P0011","S095","C035131",4,9.26,0.15,31.48,19.38,12.1
"0RD00000160","2024-01-27","P0199","S067","C019177",2,9.89,0.0,19.78,10.82,8.96
"0RD00000161","2023-03-01","P0074","S035","C003359",2,7.0,0.0,14.0,9.59,4.41
"0RD00000162","2024-01-09","P0005","S020","C004069",4,5.15,0.0,20.6,12.72,7.88
"0RD00000163","2023-10-12","P0005","S015","C023530",5,11.38,0.0,56.9,39.01,17.89
"0RD00000164","2023-04-19","P0168","S004","C049445",3,11.15,0.1,30.11,17.06,13.05
"0RD00000165","2023-06-20","P0092","S030","C019283",2,5.4,0.1,9.72,6.07,3.65
"0RD00000166","2023-05-01","P0056","S053","C010108",3,5.45,0.1,14.72,9.43,5.28
"0RD00000167","2023-05-02","P0161","S026","C021539",2,3.1,0.0,6.2,3.4,2.8
"0RD00000168","2024-11-25","P0001","S084","C036726",4,11.94,0.0,47.76,26.86,20.9
"0RD00000169","2024-12-23","P0129","S065","C047824",5,10.2,0.15,43.35,28.95,14.4
"0RD00000170","2024-01-11","P0127","S088","C015640",2,5.4,0.15,9.18,5.03,4.15
"0RD00000171","2023-03-15","P0182","S003","C034658",4,9.45,0.2,30.24,16.06,14.18
